"FiscalYear","County","Department","FundType","RegionCode","RegionName","Program","Budget","ActualSpend","Beneficiaries"
2023,"Glenn","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",163.4,166.2,201220
2024,"Glenn","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",182.9,181.6,478638
2020,"Lassen","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",174,148.4,497770
2021,"Lassen","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",125.1,140.1,65472
2022,"Lassen","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",169.4,164.2,430700
2023,"Lassen","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Health",78.9,76.7,461577
2024,"Lassen","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",105.9,119.5,172185
2020,"Modoc","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Health",111.1,120.3,328828
2021,"Modoc","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",63.8,62.3,302519
2022,"Modoc","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Health",50.3,50.9,386468
2023,"Modoc","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",108.4,107.7,339358
2024,"Modoc","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Health",73.8,68.9,192345
2020,"Nevada","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",181.8,182.6,495835
2021,"Nevada","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",138.6,125.6,469494
2022,"Nevada","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",117.7,116,51054
2023,"Nevada","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",129.9,111.9,288240
2024,"Nevada","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",57.6,58.3,270895
2020,"Placer","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Health",163,161.5,285826
2021,"Placer","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",153.3,133.3,300812
2022,"Placer","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",69.2,60,300409
2023,"Placer","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",141.6,133.8,210320
2024,"Placer","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",147.5,139.4,458786
2020,"Plumas","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Health",101.7,97.6,384955
2021,"Plumas","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",153.3,135.8,372696
2022,"Plumas","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",135.3,144.1,240351
2023,"Plumas","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",91.5,92.6,471870
2024,"Plumas","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",187.2,191.8,370872
2020,"Sacramento","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",56.9,63.8,226323
2021,"Sacramento","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",185.5,170.1,307954
2022,"Sacramento","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Health",172.6,189.9,343955
2023,"Sacramento","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",98.6,107.5,351760
2024,"Sacramento","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Health",112.6,102.2,283712
2020,"Shasta","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",125.6,140.3,154453
2021,"Shasta","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",132.8,113.5,305323
2022,"Shasta","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",60.9,53.6,314385
2023,"Shasta","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",97.9,95.5,112793
2024,"Shasta","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Health",85,86.9,318920
2020,"Sierra","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",64.6,57.5,267549
2021,"Sierra","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",196.7,180.6,81705
2022,"Sierra","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",101.3,95,454509
2023,"Sierra","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",189.9,176.9,366944
2024,"Sierra","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Health",171.5,177.9,221725
2020,"Siskiyou","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",111.4,116.8,133441
2021,"Siskiyou","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",169.6,167.9,152978
2022,"Siskiyou","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",86.6,94.4,283935
2023,"Siskiyou","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",166.8,191.2,173615
2024,"Siskiyou","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Health",62.9,65.7,442741
2020,"Sutter","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",81.8,82,435756
2021,"Sutter","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Health",197.5,185.4,374055
2022,"Sutter","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Health",56.8,62.9,50704
2023,"Sutter","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",131.8,146.5,408578
2024,"Sutter","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Health",151.1,135.4,142960
2020,"Tehama","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Health",91.4,101,305732
2021,"Tehama","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",123.9,120.6,107110
2022,"Tehama","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",178.9,160.7,417492
2023,"Tehama","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",122.7,133.2,379735
2024,"Tehama","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Health",70.4,73,166059
2020,"Yolo","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Health",97.6,104.9,271178
2021,"Yolo","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",164.9,146.3,100739
2022,"Yolo","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Health",56.8,49.8,448594
2023,"Yolo","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",188.8,213.1,263886
2024,"Yolo","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",152.4,141.8,467171
2020,"Yuba","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Health",112.5,116.1,146235
2021,"Yuba","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",70.3,70.2,190469
2022,"Yuba","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",189,209.2,51154
2023,"Yuba","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",84.7,83,326451
2024,"Yuba","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Health",160.9,168.2,462686
2020,"Del Norte","Health","General Fund","Region 2","North Coast","Mental Health",51.2,48,332480
2021,"Del Norte","Health","General Fund","Region 2","North Coast","Public Health",87.3,86.2,366153
2022,"Del Norte","Health","General Fund","Region 2","North Coast","Mental Health",198.4,175.5,466817
2023,"Del Norte","Health","General Fund","Region 2","North Coast","Medicaid",157.6,170.5,62526
2024,"Del Norte","Health","General Fund","Region 2","North Coast","Medicaid",147.8,166.9,359234
2020,"Humboldt","Health","General Fund","Region 2","North Coast","Public Health",86.1,76.7,95082
2021,"Humboldt","Health","General Fund","Region 2","North Coast","Medicaid",63,68.3,431909
2022,"Humboldt","Health","General Fund","Region 2","North Coast","Mental Health",94.5,82.5,461281
2023,"Humboldt","Health","General Fund","Region 2","North Coast","Public Health",131.3,145.7,368548
2024,"Humboldt","Health","General Fund","Region 2","North Coast","Public Health",167.1,155.3,182511
2020,"Lake","Health","General Fund","Region 2","North Coast","Medicaid",90.8,91.2,88648
2021,"Lake","Health","General Fund","Region 2","North Coast","Public Health",97.6,100.6,375991
2022,"Lake","Health","General Fund","Region 2","North Coast","Mental Health",192.1,212.9,99113
2023,"Lake","Health","General Fund","Region 2","North Coast","Medicaid",123.5,117.6,70005
2024,"Lake","Health","General Fund","Region 2","North Coast","Medicaid",195.9,205.6,147422
2020,"Mendocino","Health","General Fund","Region 2","North Coast","Medicaid",176.9,167.4,442444
2021,"Mendocino","Health","General Fund","Region 2","North Coast","Public Health",197,194.4,499056
2022,"Mendocino","Health","General Fund","Region 2","North Coast","Public Health",67.1,73.6,365209
2023,"Mendocino","Health","General Fund","Region 2","North Coast","Medicaid",97.1,89.7,241842
2024,"Mendocino","Health","General Fund","Region 2","North Coast","Mental Health",191.7,180.6,315972
2020,"Napa","Health","General Fund","Region 2","North Coast","Mental Health",146.2,129,142242
2021,"Napa","Health","General Fund","Region 2","North Coast","Medicaid",196.9,216.7,334596
2022,"Napa","Health","General Fund","Region 2","North Coast","Public Health",195.8,202.8,236449
2023,"Napa","Health","General Fund","Region 2","North Coast","Public Health",159.6,146.2,254808
2024,"Napa","Health","General Fund","Region 2","North Coast","Public Health",108.8,119.8,385132
2020,"Sonoma","Health","General Fund","Region 2","North Coast","Public Health",149.5,145,499212
2021,"Sonoma","Health","General Fund","Region 2","North Coast","Public Health",88.6,86,269901
2022,"Sonoma","Health","General Fund","Region 2","North Coast","Public Health",96.5,87.9,217941
2023,"Sonoma","Health","General Fund","Region 2","North Coast","Medicaid",176.1,159.3,322727
2024,"Sonoma","Health","General Fund","Region 2","North Coast","Public Health",153.2,145.6,418203
2020,"Trinity","Health","General Fund","Region 2","North Coast","Mental Health",166.2,181.1,185693
2021,"Trinity","Health","General Fund","Region 2","North Coast","Public Health",96.2,85.3,192875
2022,"Trinity","Health","General Fund","Region 2","North Coast","Public Health",146.2,130.5,415909
2023,"Trinity","Health","General Fund","Region 2","North Coast","Public Health",142,149.4,227491
2024,"Trinity","Health","General Fund","Region 2","North Coast","Medicaid",84,82,170863
2020,"Alameda","Health","General Fund","Region 3","Bay Area","Public Health",86.9,96.8,423722
2021,"Alameda","Health","General Fund","Region 3","Bay Area","Medicaid",181.7,180.2,245439
2022,"Alameda","Health","General Fund","Region 3","Bay Area","Public Health",167.7,173.3,220053
2023,"Alameda","Health","General Fund","Region 3","Bay Area","Medicaid",53.8,58.9,81539
2024,"Alameda","Health","General Fund","Region 3","Bay Area","Mental Health",163.3,185.7,464868
2020,"Contra Costa","Health","General Fund","Region 3","Bay Area","Medicaid",184.7,159.2,277492
2021,"Contra Costa","Health","General Fund","Region 3","Bay Area","Medicaid",184,159.2,95757
2022,"Contra Costa","Health","General Fund","Region 3","Bay Area","Medicaid",67.9,72.3,228171
2023,"Contra Costa","Health","General Fund","Region 3","Bay Area","Mental Health",196.4,180.3,338750
2024,"Contra Costa","Health","General Fund","Region 3","Bay Area","Medicaid",186.5,167.7,378425
2020,"Marin","Health","General Fund","Region 3","Bay Area","Medicaid",88.8,94.1,477256
2021,"Marin","Health","General Fund","Region 3","Bay Area","Public Health",183.3,176,250293
2022,"Marin","Health","General Fund","Region 3","Bay Area","Public Health",175,187.4,350322
2023,"Marin","Health","General Fund","Region 3","Bay Area","Public Health",115.9,116.1,451131
2024,"Marin","Health","General Fund","Region 3","Bay Area","Medicaid",61.5,63.9,471694
2020,"San Francisco","Health","General Fund","Region 3","Bay Area","Medicaid",179.9,179.7,327653
2021,"San Francisco","Health","General Fund","Region 3","Bay Area","Medicaid",98.5,112.1,359035
2022,"San Francisco","Health","General Fund","Region 3","Bay Area","Public Health",84.8,83.4,133602
2023,"San Francisco","Health","General Fund","Region 3","Bay Area","Mental Health",174.2,197.9,366893
2024,"San Francisco","Health","General Fund","Region 3","Bay Area","Public Health",198.7,178.6,299180
2020,"San Mateo","Health","General Fund","Region 3","Bay Area","Mental Health",84.5,73.7,437205
2021,"San Mateo","Health","General Fund","Region 3","Bay Area","Medicaid",63.3,65.9,127785
2022,"San Mateo","Health","General Fund","Region 3","Bay Area","Medicaid",145.3,138.2,390273
2023,"San Mateo","Health","General Fund","Region 3","Bay Area","Public Health",178.5,185.2,370364
2024,"San Mateo","Health","General Fund","Region 3","Bay Area","Mental Health",77.6,67.7,471177
2020,"Santa Clara","Health","General Fund","Region 3","Bay Area","Medicaid",125.8,118.7,132322
2021,"Santa Clara","Health","General Fund","Region 3","Bay Area","Mental Health",103.3,92.5,207815
2022,"Santa Clara","Health","General Fund","Region 3","Bay Area","Medicaid",173.7,185.1,141947
2023,"Santa Clara","Health","General Fund","Region 3","Bay Area","Public Health",122.6,126.2,135803
2024,"Santa Clara","Health","General Fund","Region 3","Bay Area","Public Health",84.8,95.8,474749
2020,"Solano","Health","General Fund","Region 3","Bay Area","Mental Health",90.5,94.2,162109
2021,"Solano","Health","General Fund","Region 3","Bay Area","Medicaid",173.4,180.2,298019
2022,"Solano","Health","General Fund","Region 3","Bay Area","Public Health",53.9,49.3,372049
2023,"Solano","Health","General Fund","Region 3","Bay Area","Mental Health",110.9,120.6,60686
2024,"Solano","Health","General Fund","Region 3","Bay Area","Medicaid",139.4,144.4,87075
2020,"Alpine","Health","General Fund","Region 4","Central Valley (North)","Medicaid",129.3,136.1,328393
2021,"Alpine","Health","General Fund","Region 4","Central Valley (North)","Medicaid",152.4,140.2,430497
2022,"Alpine","Health","General Fund","Region 4","Central Valley (North)","Mental Health",126.2,137.4,381422
2023,"Alpine","Health","General Fund","Region 4","Central Valley (North)","Public Health",133.2,137.1,92898
2024,"Alpine","Health","General Fund","Region 4","Central Valley (North)","Public Health",176.2,185.7,67330
2020,"Amador","Health","General Fund","Region 4","Central Valley (North)","Mental Health",96.9,98.2,390711
2021,"Amador","Health","General Fund","Region 4","Central Valley (North)","Public Health",55.4,53.7,428047
2022,"Amador","Health","General Fund","Region 4","Central Valley (North)","Medicaid",172.4,166.6,401838
2023,"Amador","Health","General Fund","Region 4","Central Valley (North)","Medicaid",166.8,173.5,453377
2024,"Amador","Health","General Fund","Region 4","Central Valley (North)","Mental Health",178.9,161.1,62855
2020,"Calaveras","Health","General Fund","Region 4","Central Valley (North)","Public Health",59.9,64.7,248139
2021,"Calaveras","Health","General Fund","Region 4","Central Valley (North)","Mental Health",51.3,48.5,105029
2022,"Calaveras","Health","General Fund","Region 4","Central Valley (North)","Public Health",138.8,126.5,80233
2023,"Calaveras","Health","General Fund","Region 4","Central Valley (North)","Medicaid",180.4,190.6,449351
2024,"Calaveras","Health","General Fund","Region 4","Central Valley (North)","Medicaid",116.9,120,133543
2020,"Madera","Health","General Fund","Region 4","Central Valley (North)","Mental Health",55.6,52.4,273163
2021,"Madera","Health","General Fund","Region 4","Central Valley (North)","Medicaid",111.5,124.3,179948
2022,"Madera","Health","General Fund","Region 4","Central Valley (North)","Public Health",104.8,100.8,405984
2023,"Madera","Health","General Fund","Region 4","Central Valley (North)","Mental Health",121.5,112.7,167413
2024,"Madera","Health","General Fund","Region 4","Central Valley (North)","Mental Health",70.1,62.6,174861
2020,"Mariposa","Health","General Fund","Region 4","Central Valley (North)","Public Health",121.9,121.7,50037
2021,"Mariposa","Health","General Fund","Region 4","Central Valley (North)","Medicaid",89.6,85.1,190709
2022,"Mariposa","Health","General Fund","Region 4","Central Valley (North)","Mental Health",123.5,121.5,259326
2023,"Mariposa","Health","General Fund","Region 4","Central Valley (North)","Public Health",185.9,185.3,237144
2024,"Mariposa","Health","General Fund","Region 4","Central Valley (North)","Public Health",125.1,140.4,52648
2020,"Merced","Health","General Fund","Region 4","Central Valley (North)","Mental Health",155.5,143,107651
2021,"Merced","Health","General Fund","Region 4","Central Valley (North)","Public Health",58.7,53.5,121244
2022,"Merced","Health","General Fund","Region 4","Central Valley (North)","Mental Health",153.4,146.5,385960
2023,"Merced","Health","General Fund","Region 4","Central Valley (North)","Mental Health",169.8,172.4,434350
2024,"Merced","Health","General Fund","Region 4","Central Valley (North)","Public Health",52.8,47,265456
2020,"Mono","Health","General Fund","Region 4","Central Valley (North)","Mental Health",55.5,53.8,101410
2021,"Mono","Health","General Fund","Region 4","Central Valley (North)","Medicaid",136.7,147.9,434657
2022,"Mono","Health","General Fund","Region 4","Central Valley (North)","Mental Health",168.5,156.5,336480
2023,"Mono","Health","General Fund","Region 4","Central Valley (North)","Mental Health",160.3,183.7,157452
2024,"Mono","Health","General Fund","Region 4","Central Valley (North)","Public Health",90.3,103.4,345035
2020,"San Joaquin","Health","General Fund","Region 4","Central Valley (North)","Mental Health",170.8,162.4,429280
2021,"San Joaquin","Health","General Fund","Region 4","Central Valley (North)","Public Health",113.7,118.2,179343
2022,"San Joaquin","Health","General Fund","Region 4","Central Valley (North)","Mental Health",74.8,78.8,439846
2023,"San Joaquin","Health","General Fund","Region 4","Central Valley (North)","Mental Health",140.6,155.7,435242
2024,"San Joaquin","Health","General Fund","Region 4","Central Valley (North)","Mental Health",173.9,197,114821
2020,"Stanislaus","Health","General Fund","Region 4","Central Valley (North)","Medicaid",167.1,177.4,396741
2021,"Stanislaus","Health","General Fund","Region 4","Central Valley (North)","Medicaid",62.2,59.4,164626
2022,"Stanislaus","Health","General Fund","Region 4","Central Valley (North)","Public Health",60.6,66.5,274965
2023,"Stanislaus","Health","General Fund","Region 4","Central Valley (North)","Mental Health",193.8,185,348175
2024,"Stanislaus","Health","General Fund","Region 4","Central Valley (North)","Public Health",63.5,72.6,223235
2020,"Tuolumne","Health","General Fund","Region 4","Central Valley (North)","Medicaid",81.8,87.7,323918
2021,"Tuolumne","Health","General Fund","Region 4","Central Valley (North)","Public Health",115.9,116.8,94891
2022,"Tuolumne","Health","General Fund","Region 4","Central Valley (North)","Medicaid",166.7,150.2,274466
2023,"Tuolumne","Health","General Fund","Region 4","Central Valley (North)","Public Health",177.7,194.9,301966
2024,"Tuolumne","Health","General Fund","Region 4","Central Valley (North)","Medicaid",143.7,140.7,286060
2020,"Monterey","Health","General Fund","Region 5","Central Coast","Mental Health",108.2,121.4,271370
2021,"Monterey","Health","General Fund","Region 5","Central Coast","Mental Health",71.6,67.1,215455
2022,"Monterey","Health","General Fund","Region 5","Central Coast","Mental Health",182.3,204.8,398269
2023,"Monterey","Health","General Fund","Region 5","Central Coast","Mental Health",181.1,163,460317
2024,"Monterey","Health","General Fund","Region 5","Central Coast","Medicaid",100.8,115.8,180521
2020,"San Benito","Health","General Fund","Region 5","Central Coast","Public Health",127,133.2,141387
2021,"San Benito","Health","General Fund","Region 5","Central Coast","Mental Health",124.1,128.3,105889
2022,"San Benito","Health","General Fund","Region 5","Central Coast","Public Health",169,166.2,455958
2023,"San Benito","Health","General Fund","Region 5","Central Coast","Mental Health",187.8,189.1,295205
2024,"San Benito","Health","General Fund","Region 5","Central Coast","Medicaid",138,158.1,116915
2020,"San Luis Obispo","Health","General Fund","Region 5","Central Coast","Medicaid",173.5,178.8,387314
2021,"San Luis Obispo","Health","General Fund","Region 5","Central Coast","Mental Health",171.1,145.5,160202
2022,"San Luis Obispo","Health","General Fund","Region 5","Central Coast","Public Health",92.2,102.1,441502
2023,"San Luis Obispo","Health","General Fund","Region 5","Central Coast","Medicaid",126.3,135.4,105885
2024,"San Luis Obispo","Health","General Fund","Region 5","Central Coast","Mental Health",94.3,103.9,299474
2020,"Santa Barbara","Health","General Fund","Region 5","Central Coast","Medicaid",180.1,164.2,389504
2021,"Santa Barbara","Health","General Fund","Region 5","Central Coast","Public Health",157,162.7,162878
2022,"Santa Barbara","Health","General Fund","Region 5","Central Coast","Mental Health",104.4,100.9,181114
2023,"Santa Barbara","Health","General Fund","Region 5","Central Coast","Mental Health",199.6,210.4,488854
2024,"Santa Barbara","Health","General Fund","Region 5","Central Coast","Mental Health",155.2,138.4,479388
2020,"Santa Cruz","Health","General Fund","Region 5","Central Coast","Mental Health",85.6,94.2,409663
2021,"Santa Cruz","Health","General Fund","Region 5","Central Coast","Mental Health",147.1,156.7,71885
2022,"Santa Cruz","Health","General Fund","Region 5","Central Coast","Medicaid",101.6,88.2,403438
2023,"Santa Cruz","Health","General Fund","Region 5","Central Coast","Public Health",170.1,191.1,95858
2024,"Santa Cruz","Health","General Fund","Region 5","Central Coast","Public Health",98.8,110.8,314358
2020,"Ventura","Health","General Fund","Region 5","Central Coast","Public Health",90.1,95.2,428826
2021,"Ventura","Health","General Fund","Region 5","Central Coast","Medicaid",60.5,54.6,188088
2022,"Ventura","Health","General Fund","Region 5","Central Coast","Mental Health",135.6,122.6,260147
2023,"Ventura","Health","General Fund","Region 5","Central Coast","Public Health",50.6,51.9,456154
2024,"Ventura","Health","General Fund","Region 5","Central Coast","Public Health",92.1,104.4,342123
2020,"Fresno","Health","General Fund","Region 6","Central Valley (South)","Mental Health",92,104.7,218053
2021,"Fresno","Health","General Fund","Region 6","Central Valley (South)","Public Health",172.7,169.3,451272
2022,"Fresno","Health","General Fund","Region 6","Central Valley (South)","Mental Health",67.6,69.5,279211
2023,"Fresno","Health","General Fund","Region 6","Central Valley (South)","Mental Health",89.3,91.2,476112
2024,"Fresno","Health","General Fund","Region 6","Central Valley (South)","Public Health",115.9,107.2,307436
2020,"Inyo","Health","General Fund","Region 6","Central Valley (South)","Medicaid",193.8,192.7,144684
2021,"Inyo","Health","General Fund","Region 6","Central Valley (South)","Mental Health",97.6,92.9,342281
2022,"Inyo","Health","General Fund","Region 6","Central Valley (South)","Medicaid",167.8,163.5,169008
2023,"Inyo","Health","General Fund","Region 6","Central Valley (South)","Mental Health",69.7,69.3,209929
2024,"Inyo","Health","General Fund","Region 6","Central Valley (South)","Public Health",124.2,125.4,121616
2020,"Kern","Health","General Fund","Region 6","Central Valley (South)","Mental Health",128.8,115.5,447887
2021,"Kern","Health","General Fund","Region 6","Central Valley (South)","Public Health",182.9,163.8,222908
2022,"Kern","Health","General Fund","Region 6","Central Valley (South)","Public Health",104.3,104,440360
2023,"Kern","Health","General Fund","Region 6","Central Valley (South)","Public Health",119.9,133.4,321246
2024,"Kern","Health","General Fund","Region 6","Central Valley (South)","Medicaid",116,114.9,404328
2020,"Kings","Health","General Fund","Region 6","Central Valley (South)","Mental Health",157,168.3,470542
2021,"Kings","Health","General Fund","Region 6","Central Valley (South)","Mental Health",57.7,56.2,304814
2022,"Kings","Health","General Fund","Region 6","Central Valley (South)","Mental Health",155.2,156.7,453013
2023,"Kings","Health","General Fund","Region 6","Central Valley (South)","Mental Health",149.5,156.3,264097
2024,"Kings","Health","General Fund","Region 6","Central Valley (South)","Medicaid",149.6,164.3,137796
2020,"Tulare","Health","General Fund","Region 6","Central Valley (South)","Mental Health",125,123.9,301198
2021,"Tulare","Health","General Fund","Region 6","Central Valley (South)","Public Health",91.3,80.6,469272
2022,"Tulare","Health","General Fund","Region 6","Central Valley (South)","Mental Health",106,100.2,248881
2023,"Tulare","Health","General Fund","Region 6","Central Valley (South)","Public Health",65.8,72.9,238806
2024,"Tulare","Health","General Fund","Region 6","Central Valley (South)","Public Health",88.2,83.4,148807
2020,"Riverside","Health","General Fund","Region 7","Inland Empire","Mental Health",56.9,58.3,372494
2021,"Riverside","Health","General Fund","Region 7","Inland Empire","Mental Health",120.4,112.8,141191
2022,"Riverside","Health","General Fund","Region 7","Inland Empire","Mental Health",98.6,104.3,318830
2023,"Riverside","Health","General Fund","Region 7","Inland Empire","Mental Health",81.5,76.3,314028
2024,"Riverside","Health","General Fund","Region 7","Inland Empire","Medicaid",162.9,154.3,337269
2020,"San Bernardino","Health","General Fund","Region 7","Inland Empire","Mental Health",86.6,81.5,451313
2021,"San Bernardino","Health","General Fund","Region 7","Inland Empire","Mental Health",110.8,101.4,419572
2022,"San Bernardino","Health","General Fund","Region 7","Inland Empire","Mental Health",155.5,143.7,190068
2023,"San Bernardino","Health","General Fund","Region 7","Inland Empire","Public Health",67.2,63,383082
2024,"San Bernardino","Health","General Fund","Region 7","Inland Empire","Public Health",70.2,63.6,238133
2020,"Los Angeles","Health","General Fund","Region 8","Los Angeles","Medicaid",197.7,218.5,473704
2021,"Los Angeles","Health","General Fund","Region 8","Los Angeles","Public Health",196.5,202.7,111422
2022,"Los Angeles","Health","General Fund","Region 8","Los Angeles","Medicaid",163.8,181.6,341710
2023,"Los Angeles","Health","General Fund","Region 8","Los Angeles","Mental Health",54.5,54.9,194910
2024,"Los Angeles","Health","General Fund","Region 8","Los Angeles","Mental Health",196.1,222,412117
2020,"Orange","Health","General Fund","Region 9","Orange County","Mental Health",164,184.2,415105
2021,"Orange","Health","General Fund","Region 9","Orange County","Mental Health",183.1,181.7,417651
2022,"Orange","Health","General Fund","Region 9","Orange County","Mental Health",83.3,74.8,453959
2023,"Orange","Health","General Fund","Region 9","Orange County","Medicaid",90.6,83.1,192185
2024,"Orange","Health","General Fund","Region 9","Orange County","Mental Health",141.1,151.8,145839
2020,"Imperial","Health","General Fund","Region 10","San Diego & Imperial Counties","Mental Health",101,114,259572
2021,"Imperial","Health","General Fund","Region 10","San Diego & Imperial Counties","Medicaid",163.5,151.7,160122
